Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
Tracker 19,https://rsf.org/en/tracker19-Coronavirus-Covid19,Civic Freedom and Human Rights; Media," press freedom. It evaluates the impact on journalism by documenting state censorship and deliberate disinformation, and their impact on the right to reliable news and information. It also makes recommendations on how to defend journalism.",worldwide; USA; AFG; DZA; ABW; AZE; BGD; BLR; BRA; KHM; TCD; CHN; COM; COG; EGY; SLV; GNQ; FRA; DEU; GHA; GTM; GIN; HUN; IND; IDN; IRQ; ITA; JPN; JOR; KAZ; PRK; LSO; LBR; MYS; MLI; MMR; OMN; PAK; RUS; SVN; ZAF; TJK; THA; TUR; TKM; UKR; ZWE, html; non-downloadable,"[Reporters Without Borders](https://twitter.com/RSF_en);
[Reporters Without Borders International](https://twitter.com/RSF_inter)",Policy Tracker,national,2020-02-21,2021-01-15,Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,NGOs
Solidarity amid the COVID-19 crisis,https://civicspacewatch.eu/covid-19/,Civic Freedom and Human Rights, civil society's and NGOss actions and demands,AUT; BEL; BGR; HRV; CZE; FRA; DEU; GRC; HUN; IRL; ITA; POL; ROU; SVK; SVN; ESP; GBR, html; non-downloadable,[European Civic Forum](https://twitter.com/ForCivicEU),Policy Tracker,national; supranational,2020-04-30,up-to-date,Think tanks; Media,,West Europe; Eastern Europe & Central Asia; European Union,NGOs
Civicus Monitor Tracking Civic Space,https://monitor.civicus.org/COVID19/,Civic Freedom and Human Rights; Media," restrictions and attacks on civic freedoms. Categories include 1) Censorship and restrictions on access to information, 2) Threats and arrests for criticising state response, 3) Restrictions on the media, 4) Passage and use of restrictive laws to counter 'fake news', 5) Targeting of human rights defenders, 6) Police abuses during lockdowns, 7) Surveillance and violations of the right to privacy, 8) Overly broad emergency laws and new restrictive legislation.",worldwide; ARM; BRA; KHM; CHN; COL; COG; EGY; SLV; FJI; HND; HUN; IND; ISR; JOR; KEN; MYS; MAR; MMR; NER; OMN; PAK; PHL; SLB; ZAF; LKA; THA; TUR; TKM; VUT; VEN; VNM; YEM; USA; NLD; DEU; ITA; GBR; AZE; HRV; SVN, html; non-downloadable,"[CIVICUS Monitor](https://twitter.com/CIVICUSMonitor);
[CIVICUS](https://twitter.com/CIVICUSalliance)",Policy Tracker,national,2020-03-11,2021-05-01,Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
COVID-19 Public Media Dataset,https://www.kaggle.com/jannalipenkova/covid19-public-media-dataset,Research and Innovation; Media," contains over 40,000 online articles with full texts which were scraped from online media, focused mainly on the non-medical aspects of COVID-19.", worldwide, csv,[Anacode]( https://twitter.com/Anacode),Policy Tracker,national,2020-01-01,2020-12-31,Media,,worldwide,Companies
Impact:Peace resources on COVID-19,https://docs.google.com/document/d/1QMEOe7NC1wpSx3jLDBohxXja-cN4M5A8ctg8fbLrOcs/edit,"War, Peace and Civil Unrest"," resources related to violence, conflict, inequality, peacebuilding", worldwide,docx,"[Impact:Peace](https://twitter.com/ImpactPeace);
    [Julia Canney](https://twitter.com/juliascanney)",Policy Tracker,national,2020-03-18,up-to-date,International organisations; Think tanks; Media,,worldwide,Academics
Conflict and Covid-19 Resource Hub,https://www.politicalsettlements.org/covid-19/resources/,"War, Peace and Civil Unrest; Civic Freedom and Human Rights; Prisons, Courts and Judiciary Systems"," conflicts, ceasefires, human rights, elections, emergency legislation, prisoners, etc.",worldwide; AFG; COL; SLV; ETH; IND; IRQ; ISR; LBN; LBY; MLI; MMR; NER; NGA; PAK; PHL; SOM; LKA; SDN; THA; UKR; VEN; YEM; SSD; XKX, html; non-downloadable,[Political Settlements](https://twitter.com/PolSettlements),Policy Tracker,national,2020-03-01,2020-08-26,Media; other trackers; Academics,,Southeast Asia; Sub-Saharan Africa; Latin America & the Caribbean; Middle East & North Africa; Eastern Europe & Central Asia,Academics
COVID-19 Disorder Tracker (CDT),https://acleddata.com/analysis/covid-19-disorder-tracker/,"War, Peace and Civil Unrest; Civic Freedom and Human Rights"," the pandemic's impact on political violence and protest, monitoring changes in demonstration activity, state repression, mob attacks, overall rates of armed conflict, etc.",worldwide; AFG; ALB; DZA; ARG; ARM; ABW; AUT; AZE; BHR; BGD; BLR; BEL; BLZ; BOL; BIH; BRA; BGR; BFA; BDI; KHM; CMR; CAF; TCD; CHL; CHN; COL; COG; CRI; HRV; CUB; CYP; CZE; DNK; DMA; ECU; EGY; SLV; EST; ETH; FIN; FRA; GUF; GAB; GEO; DEU; GHA; GRC; GTM; GIN; GUY; HTI; HND; HKG; HUN; IND; IDN; IRQ; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KGZ; LVA; LBN; LBY; LTU; LUX; MDG; MYS; MLI; MRT; MEX; MNG; MAR; MOZ; MMR; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PRY; PER; PHL; POL; PRT; PRI; ROU; RUS; RWA; SAU; SEN; SLE; SVK; SVN; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; THA; TGO; TTO; TUN; TUR; TKM; UGA; UKR; GBR; UZB; VEN; YEM; ZWE; IMN; SRB; SSD; XKX, html; non-downloadable,[Armed Conflict Location & Event Data Project](https://twitter.com/ACLEDINFO),Policy Tracker,national,2020-03-15,up-to-date,Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Think tanks
Coronavirus in Prisons map and database,https://blogs.helsinki.fi/gulagechoes/2020/04/01/coronavirus-in-prisons-a-global-perspective-tracking-policy-responses-releases-and-riots/#more-311,"Prisons, Courts and Judiciary Systems"," responses in prison systems incl. policy responses, releases, and riots", worldwide; AFG; ALB; DZA; ARG; ARM; AUS; AUT; AZE; BHR; BGD; BLR; BEL; BLZ; BIH; BRA; BFA; CAN; CYM; TCD; COL; CYP; CZE; EGY; EST; ETH; FIN; FRA; DEU; GRC; GIN; GUY; HND; HKG; HUN; IND; IDN; IRL; ISR; ITA; JAM; JOR; KEN; KOR; KGZ; LVA; LBN; LTU; LUX; MYS; MDV; MLT; MEX; MAR; NPL; NLD; NZL; OMN; PAK; PNG; PHL; POL; PRT; ROU; RUS; SAU; ZAF; ESP; LKA; SDN; TWN; THA; TTO; TUN; TUR; UGA; UKR; UZB; JEY; SRB, html; non-downloadable,[Olga Zeveleva](https://twitter.com/OZeveleva),Policy Tracker,national,2020-03-01,2020-03-31,Media; Think tanks,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
The Marshall Project Coronavirus Tracker,https://www.themarshallproject.org/2020/03/17/tracking-prisons-response-to-coronavirus,"Prisons, Courts and Judiciary Systems"," prison responses, such as visit restrictions, court operations on a state-level.",USA, html; non-downloadable,[The Marshall Project](https://twitter.com/MarshallProj),Policy Tracker,national; sub-national,2020-03-17,2021-05-07,Governmental agencies,,North America,NGOs
Prison Policy: Responses to the COVID-19 pandemic,https://www.prisonpolicy.org/virus/virusresponse.html,"Prisons, Courts and Judiciary Systems"," responses of U.S. jails and prisons, such as releasing people early, lowering or stopping jail admissions, limiting check-ins and visits to offices for people on parole, eliminating medical co-pays, reducing the cost of phone calls on a state-level.",USA, html; non-downloadable,[Prison Policy](https://twitter.com/PrisonPolicy),Policy Tracker,national; sub-national,2020-03-17,2021-05-18,Governmental agencies; Media,,North America,NGOs
Vera Institute of Justice prison data,https://www.vera.org/blog/covid-19-1/use-this-data-to-hold-your-local-jail-accountable-during-the-pandemic,"Prisons, Courts and Judiciary Systems; Cases and Deaths", number of prisoners and #COVID19 cases and deaths per prison.,USA, html; pdf,[Vera Institute](https://twitter.com/verainstitute),Policy Tracker,national; sub-national,2020-04-08,up-to-date,Think tanks; Media,,North America,Academics
Brennan Center for Justice Courts' Responses,https://www.brennancenter.org/our-work/research-reports/courts-responses-covid-19-crisis,"Prisons, Courts and Judiciary Systems"," court operations, postponements of hearings and closures on a unit-level.",USA, html; non-downloadable,[Brennan Center](https://twitter.com/BrennanCenter),Policy Tracker,national; sub-national,2020-03-19,2020-09-10,Governmental agencies,,North America,Think tanks
UCLA Law Covid-19 Behind Bars Data Project,https://docs.google.com/spreadsheets/d/1X6uJkXXS-O6eePLxw2e4JeRtM41uPZ2eRcOA_HkPVTk/edit#gid=1641553906,"Prisons, Courts and Judiciary Systems; Cases and Deaths"," cases & deaths for each US prison, jail, youth correctional facility and immigration detention facility. It also tracks releases, population reduction requests and responses, legal filings and court orders.",USA,xlsx; csv,"[UCLA COVID-19 Behind Bars Data Project](https://twitter.com/uclaprisondata);
[Sharon Dolovich](https://twitter.com/SharonDolovich);
[Aaron Littman](https://twitter.com/aaronlittman);
[UCLA Prison Law](https://twitter.com/uclaprisonlaw)",Policy Tracker,national; sub-national,2020-03-11,up-to-date,Governmental agencies; Media,,North America,Academics
Covid Prison Data,https://www.openicpsr.org/openicpsr/project/119901/version/V1/view,"Prisons, Courts and Judiciary Systems; Cases and Deaths"," cases, tests and deaths among inmates and guards; historical population data for state prisons on a state-level and on a unit-level.",USA, xlsx; csv; html,"[CovidPrisonData](https://twitter.com/CovidPrisonData);
[Jacob Kaplan](https://twitter.com/JacobKaplan19);
[Sebastian Bass](https://twitter.com/seathebass92);
[CC13](https://twitter.com/cconcannon1);
[Oren Gur](https://twitter.com/everydayasoreng);
[Aaron Littman](https://twitter.com/aaronlittman);
[Nick Jones](https://twitter.com/nrjones8)",Policy Tracker,national; sub-national,2020-04-14,2020-06-24,Governmental agencies; Think tanks,,North America,Academics
Coronavirus: prison fever,https://www.prison-insider.com/en/articles/coronavirus-la-fievre-des-prisons,"Prisons, Courts and Judiciary Systems; Cases and Deaths",living conditions in prisons: cases; deaths; appeals; NGOs recommendations; protests; sanitary conditions and access to healthcare, worldwide; AFG; ALB; DZA; ASM; AGO; ARG; ARM; AUS; AUT; AZE; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CYM; CAF; TCD; CHL; CHN; COL; COM; COG; COK; HRV; CUB; CZE; DNK; DJI; DMA; DOM; ECU; EGY; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GUM; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JOR; KAZ; KEN; PRK; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RWA; LCA; WSM; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SWZ; SWE; CHE; TWN; TJK; THA; TGO; TTO; TUN; TUR; UGA; UKR; ARE; URY; VUT; VEN; VNM; YEM; ZMB; ZWE; MNE; SSD; XKX; USA, html; non-downloadable,[Prison Insider](https://twitter.com/PrisonInsider),Policy Tracker,national,2020-03-18,2020-12-31,International organisations; Think tanks; Academics,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,NGOs
UNDP HDR Global Preparedness and Vulnerability Dashboard,http://hdr.undp.org/en/content/global-preparedness-and-vulnerability-dashboards,"International Development, Philanthropy; Social and Employment Policy; Health and Care Policy","index for preparedness and vulnerability to pandemics by country. Preparedness index composed of indicators such as Human Development Index, number of physicians and mobile phone subscriptions. Vulnerability index composed of indicators such as population in poverty, population without social protection, remittances inflows or tourism as a share of GDP.",worldwide; AFG; ALB; DZA; AND; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LAO; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; SYR; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; YEM; ZMB; ZWE; MNE; SRB; SSD; USA, xlsx; pdf; html,[UNDP](https://twitter.com/UNDP),Policy Tracker,national,2020-01-01,up-to-date,International organisations,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
World Bank Group's Operational Response to COVID-19 (coronavirus) - Projects List,https://www.worldbank.org/en/about/what-we-do/brief/world-bank-group-operational-response-covid-19-coronavirus-projects-list,"International Development, Philanthropy; Trade Policy and FDI", countries that are getting World Bank Group support through the COVID-19 dedicated fast-track facility as well as other financing mechanisms,AFG; AGO; ARG; ARM; AUS; BGD; BLR; BEN; BTN; BOL; BIH; BRA; BFA; BDI; KHM; CMR; CAF; TCD; CHN; COL; COM; COG; CRI; DJI; DMA; DOM; ECU; EGY; SLV; ETH; FJI; GAB; GMB; GEO; GHA; GRD; GTM; GIN; GNB; HTI; HND; IND; IDN; IRQ; JOR; KAZ; KEN; KIR; KGZ; LBN; LSO; LBR; MDG; MWI; MDV; MLI; MHL; MRT; MNG; MAR; MOZ; MMR; NPL; NER; NGA; OMN; PAK; PAN; PNG; PRY; PHL; ROU; RWA; LCA; VCT; WSM; SEN; SYC; SLE; SOM; LKA; SDN; SUR; SWZ; TJK; TGO; TON; TUN; TUR; TUV; UGA; UKR; URY; UZB; VUT; VNM; YEM; ZMB; SRB; SSD; XKX, html; non-downloadable,[World Bank](https://twitter.com/WorldBank),Policy Tracker,national,2020-04-02,up-to-date,International organisations,,Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia,International organisations
African Policy Monitor,https://covid19africawatch.org/african-policy-monitor/,"International Development, Philanthropy; Social and Employment Policy; Macroeconomic and Financial Policy; Education Policy; Non-Pharmaceutical Interventions","1) Emergency declarations, 2) Fiscal Policy Responses, 3) Monetary Policy Responses, 4) Social Distancing Measures, 5) School closures in African countries",DZA; AGO; BEN; BWA; BFA; BDI; CMR; TCD; COM; COG; CIV; DJI; EGY; GNQ; ERI; ETH; GAB; GMB; GHA; GIN; GNB; KEN; LSO; LBR; MDG; MWI; MLI; MRT; MUS; MAR; NER; SEN; SWZ; TGO; COD, html; non-downloadable,[COVID-19 Africa Watch](https://twitter.com/Covid_Africa),Policy Tracker,national,2020-02-17,2020-12-22,Governmental agencies; International organisations; Academics; other trackers,,Middle East & North Africa; Sub-Saharan Africa,NGOs
Philanthropic funding data,https://candid.org/explore-issues/coronavirus,"International Development, Philanthropy; Trade Policy and FDI"," private funders and recipients with details on the amount, purpose and geographical distribution",worldwide, html; non-downloadable,[Candid](https://twitter.com/CandidDotOrg),Policy Tracker,national; sub-national,2020-03-03,up-to-date,Think tanks; Companies,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Think tanks
Global Response Funding Tracker,https://covid19africawatch.org/global-response-monitor/,"International Development, Philanthropy; Trade Policy and FDI"," global initiatives and financial support packages organised by 1) Financial Support from International Development Partners, 2) IMF and World Bank Support, 3) Philanthropic and Corporate Giving",BEN; BFA; BDI; CMR; CAF; TCD; COM; DJI; EGY; ETH; SWZ, html; non-downloadable,[COVID-19 Africa Watch](https://twitter.com/Covid_Africa),Policy Tracker,national,2020-03-11,2020-12-14,International organisations; Think tanks; Media,,Middle East & North Africa; Sub-Saharan Africa,NGOs
The ONE Africa COVID-19 Tracker,https://www.one.org/africa/about/policy-analysis/covid-19-tracker/,"International Development, Philanthropy; Civic Freedom and Human Rights; Health and Care Policy; Social and Employment Policy"," health, economic, and social impacts, such as the number of hospital beds and ICUs; government measures to limit spread of the virus or to limit civil liberties; impact on food intake or remittances",DZA; AGO; BEN; BWA; BFA; BDI; CMR; CPV; CAF; TCD; COM; COG; DJI; EGY; GNQ; ERI; ETH; FRA; GAB; GMB; GHA; GIN; GNB; KEN; LSO; LBR; LBY; MDG; MWI; MLI; MRT; MUS; MYT; MAR; MOZ; NAM; NER; NGA; RWA; SEN; SYC; SLE; SOM; ZAF; SDN; SWZ; TGO; TUN; UGA; ESH; ZMB; ZWE; SSD, html; non-downloadable,"[ONE](https://twitter.com/ONEcampaign);
[David McNair](https://twitter.com/David_McNair)",Policy Tracker,national,2020-02-28,up-to-date,International organisations; Academics; Think tanks,,Middle East & North Africa; Sub-Saharan Africa,NGOs
EPIC Tracker,https://epictracker.org/,"Health and Care Policy; Education Policy; Social and Employment Policy; Macroeconomic and Financial Policy; International Development, Philanthropy; Research and Innovation; Media; Prisons, Courts and Judiciary Systems; Politics, Elections, Policy Making","An inventory of the health, economic, and social policy interventions and government measures. The measures include government policies and public sector interventions whose impacts are felt across all levels of society.",worldwide; AFG; ALB; DZA; ASM; AND; AGO; AIA; ATA; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BVT; BRA; IOT; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CYM; CAF; TCD; CHL; CHN; CXR; CCK; COL; COM; COG; COD; COK; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FRO; FJI; FIN; FRA; GUF; PYF; ATF; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GRD; GLP; GUM; GTM; GIN; GNB; GUY; HTI; HMD; HND; HKG; HUN; ISL; IND; IDN; IRN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LAO; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MAC; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MTQ; MRT; MUS; MYT; MEX; MDA; MCO; MNG; MSR; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NCL; NZL; NIC; NER; NGA; NIU; NFK; MNP; NOR; OMN; PAK; PLW; PSE; PAN; PNG; PRY; PER; PHL; PCN; POL; PRT; PRI; QAT; ROU; RUS; RUS; RWA; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; SGS; ESP; LKA; SDN; SUR; SJM; SWE; CHE; SYR; TWN; TJK; TZA; THA; TLS; TGO; TKL; TON; TTO; TUN; TUR; TKM; TCA; TUV; UGA; UKR; ARE; GBR; UMI; URY; UZB; VUT; VEN; VGB; VIR; YEM; ZMB; ZWE; GGY; IMN; JEY; MNE; SRB,xlsx,"[United Nations University, International Institute for Global Health (UNU IIGH)](https://iigh.unu.edu/)",Policy Tracker,national,2020-03-01,2020-07-30,Governmental agencies; International organisations; Academics; Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
